monobit_test_ones_count,monobit_test_zeroes_count,monobit_test_p,frequency_within_block_test_p,runs_test_p,longest_run_ones_in_a_block_test_p,binary_matrix_rank_test_p,dft_test_p,approximate_entropy_test_p,serial_test_p,cumulative_sums_test_p,non_overlapping_template_matching_test_p,label
32917,32683,0.36091838958075434,0.5659686371398839,0.8122513869627237,0.524252556585807,0.38685067028260306,0.3704034184737721,0.36536454435378324,0.3674984654092528,0.36090004608992654,0.9999856409337751,RC4
32873,32727,0.568654481262715,0.18271612744278243,0.12751610532674018,0.7780507042509257,0.6413281381954113,0.048771993285610465,0.7271439455437418,0.7235324189174914,0.738926394155861,0.9999923173730126,CAST
32882,32718,0.5219695053554594,0.3809942742384942,0.7535588114658773,0.35705378088966266,0.0006584421036675499,0.2370677658755949,0.274233371807925,0.2759062747504333,0.4547032432167126,0.9999999148785724,CAST
33000,32664,0.1897834012167269,0.5327418306285913,0.516391638613206,0.7440560000880185,0.31973900322473464,0.12013471352196622,0.13849212208489,0.14308916283169212,0.3342044913608335,0.9999757880878581,AES
32822,32778,0.8636017327390523,0.33862075754662424,0.6171655691119898,0.24542731472279422,0.8160668284102506,0.15181533854285448,0.914447058037072,0.9138296521777391,0.5633651763225052,0.999506098344057,3DES
32641,32959,0.2143910452913161,0.5795644615314471,0.20521705298476137,0.8329547103564877,0.9751919625032903,0.6672359277964863,0.4636147928455013,0.45988558172138944,0.1027658745069937,0.9999999988054755,3DES
32860,32804,0.8270109750772779,0.35986505484242776,0.20883575436031143,0.6478298800498697,0.4535662397845207,0.4392128769586857,0.04275634480916693,0.04185305560235536,0.4825239960582177,0.9999989239850203,AES
32889,32711,0.48707207167702643,0.1542760871597844,0.3204193712194502,0.7697409582084526,0.31973900322473464,0.7201284095916474,0.7109516239680306,0.7199444564878378,0.6620920359181861,0.9999998323916545,RC4
32732,32868,0.5954251611204673,0.12071115467000997,0.0007188753424853134,0.9786441790719052,0.1310960731819773,0.6159474737713811,0.11788351182388934,0.12134808519545583,0.6154414194163136,1.0000000342468214,RC4
32645,32955,0.2261459023596894,0.15195814928368334,0.6323443847907351,0.8557979181474549,0.6025645264853575,0.25158047756492985,0.869144095671622,0.8672083396833492,0.19885439220487822,0.9999999961765215,Blowfish
32712,32888,0.49197903941493754,0.5386941109667309,0.6519437515812792,0.45288751329639904,0.962089981372801,0.9714189339546523,0.47996009930126116,0.4761831420480373,0.8614981120714942,0.9999999980400115,CAST
32793,32807,0.9564086864419457,0.953229337680539,0.6789677385525401,0.6283113145330232,0.6556103013176372,0.6934954724814183,0.868774143028824,0.8694013165784559,0.9371787104120886,0.9999999969705358,Blowfish
32710,32890,0.4821916609549382,0.09858422891165997,0.9953081727431213,0.7627140647227673,0.6327117127193927,0.38985010219581306,0.5310652644199376,0.5291779432370566,0.5633651763225052,0.9999999960230542,CAST
32752,32848,0.70779654906667,0.8442743545251775,0.8763281587509839,0.5127560552506283,0.6327117127193927,0.6934954724814183,0.9909545968074438,0.9909947567120593,0.9859566480924302,0.9999998530365141,RC4
32646,32954,0.22915516552226686,0.5243570267695542,0.6831096661518823,0.3870107966640728,0.6556103013176372,0.07915550343270593,0.3966799867412625,0.3939597890286963,0.0536901627753672,0.9999999975657494,RC4
32913,32687,0.3775703989269708,0.8218948471648752,0.686935974789508,0.9256364616734192,0.9689551409537442,0.6672359277964863,0.2866477833870032,0.28751596696883075,0.7022552575569341,0.9999999958184462,CAST
32744,32920,0.49219011763337894,0.962764343235004,0.2876402691433949,0.6119293783635429,0.5898473382007025,0.22887645042413224,0.3617781791628432,0.36420813220553744,0.6843785086627725,0.9999999177559161,AES
32712,32888,0.49197903941493754,0.0878942268675558,0.229866431125937,0.9363968444748287,0.11636144764004433,0.8860415103014305,0.924533286376528,0.9246436897143541,0.3685654745777027,0.99999743771102,3DES
32847,32753,0.7136127967075003,0.11947183267157363,0.18160997676827323,0.9260141680908002,0.5002157370716408,0.8019679472366796,0.266118825142356,0.26867387541158033,0.8772671406747528,1.0000000015986095,Blowfish
32708,32956,0.33314159707662405,0.5630865832463089,0.8420479797252866,0.806440255503731,0.12900640341888153,0.3408032468860451,0.4676967438306092,0.4626887846128029,0.3438858883506999,0.9999999801908358,AES
32680,32920,0.34873666013880517,0.6981083424200023,0.9164213918441761,0.6349691491526114,0.34211153828070134,0.942874529880778,0.6313143954578552,0.6331367169244974,0.15130861312770194,0.99999997209781,3DES
32952,32712,0.3489716531497421,0.6927353133775209,0.43308597242124963,0.4909467453874484,0.44399367611546653,0.8466607751540012,0.7274779854515506,0.7329447466074721,0.15947994413656907,0.9999996499522726,AES
33006,32594,0.10770607754423296,0.45972589949522064,0.6433465180744793,0.8504242714383646,0.3081537237798362,0.6672359277964863,0.06015280657422873,0.06171813823322333,0.10655856882796222,1.0000000017727677,3DES
32915,32685,0.3691860128279995,0.7909011603306706,0.45628199732261987,0.9168141303100813,0.4252695627174757,0.25158047756492985,0.1688659816733008,0.17004694841226153,0.7132593753616399,0.999996269415047,RC4
32678,32922,0.3407623929274809,0.1304827028601639,0.08803395597627069,0.45230459891260233,0.6285244870475353,0.3704034184737721,0.5386220670301435,0.5477774309662041,0.22058305699523206,0.999998546044995,Blowfish
32939,32661,0.2777411478294801,0.17968830831370544,0.5986099695930834,0.14593990268344587,0.7381079347879222,0.6934954724814183,0.6817012306631972,0.6799241067887682,0.24226459338389938,0.9999999961184778,CAST
32666,32934,0.29539291271172113,0.19298798475537954,0.6706834773035142,0.7753111983348046,0.8681862924886302,0.590970091643279,0.40110522950406,0.3986178102796973,0.4977225853332303,1.000000000355955,CAST
